,index,property_name,Property_type,property_type,society,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,description,floor_Num,total_floors,area,super_built_up_area,carpet_area,Built_up_area,study room,servant room,store room,pooja room,others,Bed,Light,Chimney,Exhaust Fan,Fan,TV,Dining Table,Microwave,Wardrobe,Sofa,Modular Kitchen,Stove,Washing Machine,AC,Curtains,Water Purifier,Geyser,Fridge,furnishing_type,luxury_score,Environment,Safety,Lifestyle,Connectivity,Green_area,Management,Construction,Amenities
10,10,2 BHK Flat in Sector 81 Gurgaon,flat,2 BHK,signature global city 81,0.96,9767.0,Carpet area: 1075 (99.87 sq.m.),2,2,2,"Sector 81 Gurgaon, Gurgaon, Haryana",1st   of 4 Floors,,undefined,"Signature global city 81 is one of gurgaon's most sought after destination for apartments and this 2 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. Constructed on a carpet area of 1075 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 1st floor of this 4 floors tall residential building. As the property is currently under construction , you can expect to get the possession by june 2024.",1.0,4.0,983.0,,1075.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4.5,4.5,4,3.5,,,,
11,11,2 BHK Flat in Sohna,flat,2 BHK,hcbs sports ville,0.29,5587.0,Carpet area: 519 (48.22 sq.m.),2,2,1,"Sohna, Gurgaon, Haryana",4th   of 13 Floors,,Relatively New,Affordable housing in gurgaon and surrounded by green and clean air. Selling off due to relocation.,4.0,13.0,519.0,,519.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,2,4,4,4,4
12,12,3 BHK Flat in Sector 79 Gurgaon,flat,3 BHK,supertech araville,1.35,6940.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,"Sector 79 Gurgaon, Gurgaon, Haryana",4th   of 15 Floors,,Relatively New,"Well spacious, nicely built with wooden flooring in master bed room. The location of the house is convenient for school goers and the connectivity is great too.",4.0,15.0,1945.0,,1945.0,,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,4,4,3,4,,,,
13,13,2 BHK Flat in Sector 33 Gurgaon,flat,2 BHK,godrej,0.95,6859.0,Super Built up area 1385(128.67 sq.m.),2,2,3+,"Flat No. :- 301, Sector 33 Gurgaon, Gurgaon, Haryana",3rd   of 20 Floors,South-East,Under Construction,"Its an godrej project nature plus.
On 3rd floor. 1st flat
 Balcony east facing & flat is north facing.
With 4 balconies.
On sec - 33 , sohan road
Front facing flat..
If need more details you can contact me.",3.0,20.0,1385.0,1385.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,,,,
14,14,2 BHK Flat in Sector 90 Gurgaon,flat,2 BHK,shree vardhman flora,0.7,5384.0,Super Built up area 1300(120.77 sq.m.),2,2,3,"Sector 90 Gurgaon, Gurgaon, Haryana",13rd   of 13 Floors,,New Property,"This 2 bhk apartment is available for sale in shree vardhman flora, one of the most prominent projects for flats in sector 90 gurgaon. Constructed on a super built up area of 1300 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the top level of a 13 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",13.0,13.0,1300.0,1300.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,,,5,5,4,5,5
15,15,4 BHK Flat in Sector 108 Gurgaon,flat,4 BHK,sobha city,3.95,16859.0,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4,5,3,"Sector 108, Sector 108 Gurgaon, Gurgaon, Haryana",25th   of 25 Floors,,undefined,This is sale property................................. Sobha city sector 108,25.0,25.0,2343.0,,2300.0,2343.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,4.5,4.5,4.5,,,,
16,16,1 BHK Flat in Sector 62 Gurgaon,flat,1 BHK,senate court,0.9,14084.0,Built Up area: 639 (59.37 sq.m.),1,1,0,"Senate Court, Sector 62, Gurgaon, Sector 62 Gurgaon, Gurgaon, Haryana",Ground of 1 Floors,,undefined,"Looking for a 1 bhk apartment for sale in gurgaon? Your search ends here. Buy this 1 bhk property in gurgaons finest location, sector 62. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 7 floors. This apartment is available at a reasonable price of rs 90.0 l. The built up area of this property is 639 square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as kunskapsskolan eduventures pvt ltd, c r oasis convent senior secondry school, and pardeep mor mamoril school. Medical facility is also close at hand with names like park hospital, artemis hospital gurgaon, and w pratiksha hospital senate court senate court, sector 62, gurgaon",0.0,1.0,639.0,,,639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,,,,
17,17,2 BHK Flat in Sector 102 Gurgaon,flat,2 BHK,shapoorji pallonji joyville gurugram,1.05,11475.0,Carpet area: 915 (85.01 sq.m.),2,2,2,"G04, Sector 102 Gurgaon, Gurgaon, Haryana",Ground of 14 Floors,,undefined,New upcoming available in next 6-9 months,0.0,14.0,915.0,,915.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,4,4,4,5,5
18,18,3 BHK Flat in Sector-33 Sohna,flat,3 BHK,central park flower valley,2.2,10476.0,Super Built up area 2100(195.1 sq.m.),3,3,3,"Sector-33 Sohna, Gurgaon, Haryana",12nd   of 13 Floors,North-East,New Property,"This beautiful 3 bhk flat in sector-33 sohna, gurgaon is situated in central park flower valley, one of the popular residential society in gurgaon. The flat is over 2100 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 13 floors and this property is situated on 12th floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.",12.0,13.0,2100.0,2100.0,,,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,49,,,,,,,,
19,19,2 BHK Flat in Sector 89 Gurgaon,flat,2 BHK,smart world gems,1.01,9156.0,Carpet area: 1103 (102.47 sq.m.),2,2,2,"Sector 89 Gurgaon, Gurgaon, Haryana",4th   of 4 Floors,,undefined,Possession soon . Luxurious flat with terrace and basement,4.0,4.0,1103.0,,1103.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,4,4,4,,,,
20,20,3 BHK Flat in Sector 79 Gurgaon,flat,3 BHK,bestech altura,1.85,8604.0,Super Built up area 2150(199.74 sq.m.),3,4,3+,"Sector 79 Gurgaon, Gurgaon, Haryana",11st   of 22 Floors,North,New Property,"This lovely 3 bhk apartment/flat in sector 79 gurgaon is available for sale in one of gurgaon's most popular projects, bestech altura. The flat occupies a super built up area of 2150 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the 11th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",11.0,22.0,2150.0,2150.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,49,4,4,3,4,,,,
21,21,2 BHK Flat in Sector 89 Gurgaon,flat,2 BHK,smart world gems,0.86,7796.0,Super Built up area 1103(102.47 sq.m.),2,3,3,"Sector 89 Gurgaon, Gurgaon, Haryana",4th   of 4 Floors,,Under Construction,"We are the proud owners of this 2 bhk apartment available in smart world gems, sector 89 gurgaon, gurgaon. This it is a and the unit is located on 4th floor and has a super built-Up area of 1103 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.",4.0,4.0,1103.0,1103.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,4,4,4,,,,
22,22,3 BHK Flat in Sector 102 Gurgaon,flat,3 BHK,emaar imperial gardens,1.85,9135.0,Carpet area: 2025 (188.13 sq.m.),3,3,3+,"Sector 102 Gurgaon, Gurgaon, Haryana",Ground of 14 Floors,South-West,Relatively New,"Private garden area well maintained
No hassle to wait for lift during rush hours as it's a ground floor. 
Complete sun light 
Able to do bonfire inside the house due to extended balcony area",0.0,14.0,2025.0,,2025.0,,0,1,0,0,0,0,20,0,1,8,0,0,0,5,0,1,0,0,5,0,0,0,0,1,95,,,,3.5,5,4.5,4,5
23,23,3 BHK Flat in Sector 113 Gurgaon,flat,3 BHK,la vida by tata housing,2.85,12855.0,Super Built up area 2217(205.97 sq.m.),3,3,3+,"Sector 113 Gurgaon , Gurgaon, Haryana",10th   of 25 Floors,East,New Property,"La vida by tata housing is one of the most popular destination for buying apartments/ flats in sector 113 gurgaon . You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2217 sq.Ft. This flat is situated on the 10th floor of this 25 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. Proximity to landmarks like close to market, close to railway station and close to school makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, lift(s), park, visitor parking and maintenance staff. The society provides continuous water supply from municipal corporation and borewell/tank.",10.0,25.0,2217.0,2217.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,,,,,,,,
24,24,2 BHK Flat in Sector 36 Gurgaon,flat,2 BHK,the serenas,0.42,7910.0,Carpet area: 531 (49.33 sq.m.),2,2,1,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",3rd   of 3 Floors,,undefined,Best in class property available at sector 36 sohna location in gurgaon,3.0,3.0,531.0,,531.0,,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
25,25,3 BHK Flat in Sector 65 Gurgaon,flat,3 BHK,m3m golfestate,6.15,18331.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,"Sector 65, Sector 65 Gurgaon, Gurgaon, Haryana",20th   of 20 Floors,North-East,undefined,One of the best units in m3m golf estate with l shaped wraparound balcony. 3side open apartment with ample sunlight. Vaastu perfect with east entry. Y m3m golf estate sector 65,20.0,20.0,3355.0,,2200.0,3355.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,,,,5,5,5,5,5
26,26,3 BHK Flat in Sector 48 Gurgaon,flat,3 BHK,central park resort belgravia residences,6.25,24300.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,"Sector 48 Gurgaon, Gurgaon, Haryana",5th   of 17 Floors,South-East,Moderately Old,"Situated in sector 48 gurgaon, central park resort belgravia residences is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is over 2880 sq.Ft. Carpet area and comes with 3 bedroom(s), 5 bathrooms and more than 3 balconies. The flat has a total of 17 floors and this property is situated on 5th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property.",5.0,17.0,2572.0,,2880.0,,0,1,0,0,0,0,55,1,1,6,0,0,0,10,0,1,0,0,0,0,0,4,0,1,49,4,4,4,5,,,,
27,27,2 BHK Flat in Sector 37C Gurgaon,flat,2 BHK,apex builders,0.42,5600.0,Carpet area: 750 (69.68 sq.m.),2,2,2,"Sector 37C Gurgaon, Gurgaon, Haryana",4th   of 12 Floors,North,Relatively New,Have car parking available and connected to newly developed dwaka expressway,4.0,12.0,750.0,,750.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,4,4,4,,,,
28,28,2 BHK Flat in Sector 3 Gurgaon,flat,2 BHK,godrej habitat,1.35,12784.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,"Godrej Habitat, Sector-3, Gurgaon, Sector 3 Gurgaon, Gurgaon, Haryana",4th   of 4 Floors,North-East,undefined,"Self owning property , shifting out of country , resale , no agency . Godrej habitat godrej habitat, sector-3, gurgaon",4.0,4.0,1056.0,,912.0,1056.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4.5,4.5,4,4.5,,,,
29,29,2 BHK Flat in New Palam Vihar,flat,2 BHK,ompee k s residency,1.6,26936.0,Carpet area: 66 (55.18 sq.m.),2,2,2,"New Palam Vihar, Gurgaon, Haryana",1st   of 4 Floors,,Relatively New,"We are the proud owners of this 2 bhk apartment available in ompee k s residency, new palam vihar, gurgaon. This unfurnished apartment it is a and the unit is located on 1st floor and has a carpet area of 66 sq.Yards. It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.",1.0,4.0,594.0,,66.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,,,,
30,30,4 BHK Flat in Sector 43 Gurgaon,flat,4 BHK,bhawna cghs,3.25,10156.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4,4,3+,"Sector 43 Gurgaon, Gurgaon, Haryana",12nd   of 12 Floors,,Moderately Old,"4 bhk + pooja room- Huge spacious rooms and hall, open kitchen, panaromic balcony with a magnificent view of the golf course road.Walking distance from one horizon center, two horizon center, baani square, galleria, vyapar kendra, ecoforest trailIn the vicinity, walking distance from the best schools in gurgaon- Heritage xperiential school, ambience public school, excelsior american schoolLocation wise you cannot find a better deal in all of gurgaon!It is a huge property, centrally located.",12.0,12.0,3200.0,3200.0,3000.0,,0,0,0,1,0,0,11,1,0,7,0,0,0,0,0,1,0,0,7,1,0,0,0,1,119,4,4,4,5,,,,
31,31,2 BHK Flat in Sector 88A Gurgaon,flat,2 BHK,adani aangan arcade,0.45,7194.0,Carpet area: 625.47 (58.11 sq.m.),2,2,1,"Tower A-4, Flat No. 804, Sector 88A Gurgaon, Gurgaon, Haryana",8th   of 12 Floors,,New Property,"This is 2bhk flat at 8th floor of tower a-4. 
5min drive from dwarka expressway. 15 min drive from nh8",8.0,12.0,626.0,,625.47,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,14,,,,,,,,
32,32,3 BHK Flat in Sector 92 Gurgaon,flat,3 BHK,sare green parc,0.85,6538.0,Built Up area: 1300 (120.77 sq.m.),3,2,2,"Sector 92, Sector 92 Gurgaon, Gurgaon, Haryana",20th   of 20 Floors,,undefined,Best in class property available at sector 92 location in gurgaon,20.0,20.0,1300.0,,,1300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,,,,
33,33,2 BHK Flat in Sector 90 Gurgaon,flat,2 BHK,shree vardhman flora,0.75,5769.0,Carpet area: 1300 (120.77 sq.m.),2,2,3,"Sector 90, Sector 90 Gurgaon, Gurgaon, Haryana",8th   of 8 Floors,North-East,undefined,Best in class property available at sector 90 location in gurgaon,8.0,8.0,1300.0,,1300.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,5,5,4,5,5
34,34,2 BHK Flat in Sector 68 Gurgaon,flat,2 BHK,supertech hues,0.82,6950.0,Super Built up area 1180(109.63 sq.m.),2,2,3+,"Sector-68 Gurgaon, Sector 68 Gurgaon, Gurgaon, Haryana",21st   of 24 Floors,,Under Construction,"Residential apartment for sell.The property comes with a good construction quality which ages,apr, 2019,,  located in sector-68 gurgaon.It is a unfurnished property.The property has 2 bedrooms, with 2 bathrooms .Available at an expected price of 82 lac.Located on 21st  of the 24 floors .It is a freehold property.  It is positioned in a gated society.",21.0,24.0,1180.0,1180.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,5,4,3,,,,
35,35,3 BHK Flat in Sector 109 Gurgaon,flat,3 BHK,chintels paradiso,1.8,8866.0,Super Built up area 2030(188.59 sq.m.)Carpet area: 1785 sq.ft. (165.83 sq.m.),3,3,2,"Sector 109 Gurgaon, Gurgaon, Haryana",Ground of 11 Floors,East,Moderately Old,"Greenery both sides of balconies 
One side children play area 
Other side trapezium shape green area
One can easily njoy refreshing air
East facing to have good sunshine on front side
Free parking and basketball facing the house
Excellent for sr citizen with grand children",0.0,11.0,2030.0,2030.0,1785.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,,,,5,5,4,4,5
36,36,2 BHK Flat in Sohna,flat,2 BHK,breez global hill view,0.3,5403.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,"T 3, Sohna, Gurgaon, Haryana",6th   of 19 Floors,North-East,New Property,"Low density project already 300 family residing in the society both side open with aravalli hill view , 24 * 7 security , gated society , shopping complex inside the society with community center , crutch, school ,hospital, petrol pump, near by the society road head society on national highway delhi mumbai expressway ,",6.0,19.0,555.0,655.0,555.0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,4,4,4,5,,,,
37,37,2 BHK Flat in Sector 37C Gurgaon,flat,2 BHK,ild greens,0.78,5714.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,"101, Tower-7, Sector 37C Gurgaon, Gurgaon, Haryana",1st   of 19 Floors,North,Moderately Old,"Rooms are well ventilated and airy, good open space, good sunlight
Located in first floor and on main sector rode.",1.0,19.0,1365.0,1365.0,900.0,1068.1,0,0,0,0,0,0,10,1,1,3,0,0,0,2,0,1,0,0,0,0,0,1,0,1,103,,,,4.5,5,4.5,5,4.5
38,38,3 BHK Flat in Sector 43 Gurgaon,flat,3 BHK,ansal sushant lok ci,2.0,15151.0,Carpet area: 1320 (122.63 sq.m.),3,3,2,"C 488,1 St Floor, Sector 43 Gurgaon, Gurgaon, Haryana",1st   of 3 Floors,North,Old Property,"Its huge inside,the bebrooms are quote spacious with attach bathrooms and we have renovated frm inside very well.Its near to market",1.0,3.0,1320.0,,1320.0,,0,1,0,0,0,3,0,0,1,6,2,1,0,5,1,0,0,0,0,1,0,3,0,2,15,4,4,4,5,,,,
39,39,2 BHK Flat in Sohna,flat,2 BHK,ashiana mulberry,0.74,6200.0,Carpet area: 1210 (112.41 sq.m.),2,2,3+,"Sohna, Gurgaon, Haryana",12nd   of 17 Floors,North-West,New Property,Available with fully furnished kitchen and master bedroom wooden flooring,12.0,17.0,1194.0,,1210.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,4,4,4,5,,,,
40,40,3 BHK Flat in Sector 106 Gurgaon,flat,3 BHK,godrej meridien,3.2,16000.0,Carpet area: 2002 (185.99 sq.m.),3,3,3+,"609, Sector 106 Gurgaon, Gurgaon, Haryana",6th   of 24 Floors,,undefined,"It's a clubhouse facing inventory and directly from the owner, agent please excuse and the price is 16000 persqft , and the price is non negotiable",6.0,24.0,2000.0,,2002.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,,,,,
41,41,4 BHK Flat in Sector 82 Gurgaon,flat,4 BHK,mapsko casa bella,1.3,6378.0,Super Built up area 1960(182.09 sq.m.),4,4,3+,"Sector 82 Gurgaon, Gurgaon, Haryana",1st   of 25 Floors,North,Relatively New,"Spacious, completely filled society, on main road, opposite to shopping mall",1.0,25.0,2038.0,1960.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,,,,4,4.5,4,4,4
42,42,2 BHK Flat in Ashok Vihar Phase 3 Extension,flat,2 BHK,pooja apartment,0.25,3571.0,Carpet area: 700 (65.03 sq.m.),2,2,2,"Flat No 201, Ashok Vihar Phase 3 Extension, Gurgaon, Haryana",2nd   of 4 Floors,East,Relatively New,2nd floor with car parking at ground level. Instalments available.,2.0,4.0,700.0,,700.0,,0,0,0,0,0,0,6,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,4,4,4,,,,
